sample	mutation_type	mutations
TCGA-AB-2802	Frame_Shift_Ins	2
TCGA-AB-2802	Missense_Mutation	7
TCGA-AB-2803	Frame_Shift_Del	1
TCGA-AB-2803	Missense_Mutation	12
TCGA-AB-2804	Missense_Mutation	5
TCGA-AB-2804	Nonsense_Mutation	1
TCGA-AB-2805	Frame_Shift_Ins	1
TCGA-AB-2805	Missense_Mutation	9
TCGA-AB-2805	Nonsense_Mutation	1
TCGA-AB-2806	Frame_Shift_Ins	2
TCGA-AB-2806	Missense_Mutation	14
TCGA-AB-2807	Frame_Shift_Del	1
TCGA-AB-2807	In_Frame_Del	1
TCGA-AB-2807	Missense_Mutation	16
TCGA-AB-2807	Nonsense_Mutation	3
TCGA-AB-2807	Splice_Site	4
TCGA-AB-2808	In_Frame_Ins	1
TCGA-AB-2808	Missense_Mutation	6
TCGA-AB-2808	Nonsense_Mutation	1
TCGA-AB-2808	Splice_Site	1
TCGA-AB-2809	Missense_Mutation	2
TCGA-AB-2809	Nonsense_Mutation	1
TCGA-AB-2810	Missense_Mutation	10
TCGA-AB-2810	Splice_Site	1
TCGA-AB-2812	Frame_Shift_Ins	1
TCGA-AB-2812	In_Frame_Ins	1
TCGA-AB-2812	Missense_Mutation	4
TCGA-AB-2813	Missense_Mutation	14
TCGA-AB-2814	Frame_Shift_Ins	1
TCGA-AB-2814	Missense_Mutation	6
TCGA-AB-2814	Splice_Site	1
TCGA-AB-2816	Missense_Mutation	5
TCGA-AB-2817	Frame_Shift_Ins	3
TCGA-AB-2817	Missense_Mutation	9
TCGA-AB-2818	Missense_Mutation	5
TCGA-AB-2818	Splice_Site	2
TCGA-AB-2819	Missense_Mutation	10
TCGA-AB-2820	Frame_Shift_Del	1
TCGA-AB-2820	Frame_Shift_Ins	1
TCGA-AB-2820	Missense_Mutation	9
TCGA-AB-2820	Nonsense_Mutation	1
TCGA-AB-2821	Frame_Shift_Ins	1
TCGA-AB-2821	Missense_Mutation	9
TCGA-AB-2821	Nonsense_Mutation	1
TCGA-AB-2821	Splice_Site	1
TCGA-AB-2822	Frame_Shift_Del	1
TCGA-AB-2822	Missense_Mutation	14
TCGA-AB-2822	Nonsense_Mutation	1
TCGA-AB-2822	Splice_Site	1
TCGA-AB-2823	Frame_Shift_Del	1
TCGA-AB-2824	Frame_Shift_Ins	1
TCGA-AB-2824	Missense_Mutation	4
TCGA-AB-2825	Frame_Shift_Ins	1
TCGA-AB-2825	Missense_Mutation	1
TCGA-AB-2825	Splice_Site	1
TCGA-AB-2826	Missense_Mutation	3
TCGA-AB-2826	Nonsense_Mutation	1
TCGA-AB-2827	Missense_Mutation	8
TCGA-AB-2828	Missense_Mutation	6
TCGA-AB-2828	Nonsense_Mutation	1
TCGA-AB-2828	Splice_Site	2
TCGA-AB-2829	Missense_Mutation	8
TCGA-AB-2829	Splice_Site	1
TCGA-AB-2830	Frame_Shift_Del	1
TCGA-AB-2830	Frame_Shift_Ins	1
TCGA-AB-2830	In_Frame_Ins	1
TCGA-AB-2830	Missense_Mutation	10
TCGA-AB-2831	Missense_Mutation	1
TCGA-AB-2831	Splice_Site	1
TCGA-AB-2832	Missense_Mutation	8
TCGA-AB-2833	Missense_Mutation	6
TCGA-AB-2833	Nonsense_Mutation	1
TCGA-AB-2834	Missense_Mutation	1
TCGA-AB-2835	Frame_Shift_Ins	1
TCGA-AB-2835	Missense_Mutation	1
TCGA-AB-2835	Nonsense_Mutation	1
TCGA-AB-2836	In_Frame_Ins	1
TCGA-AB-2836	Missense_Mutation	2
TCGA-AB-2838	Missense_Mutation	13
TCGA-AB-2838	Splice_Site	2
