sample	gene	alteration	tooltip
G-SAM-001	PDGFRA	Lost / decreased / male	G-SAM-001 PDGFRA Lost / decreased / male
G-SAM-001	ARID2	Mutation	G-SAM-001 ARID2 Mutation
G-SAM-001	MSH2	Mutation	G-SAM-001 MSH2 Mutation
G-SAM-001	HM	Mutation	G-SAM-001 HM Mutation
G-SAM-002	TERT	Lost / decreased / male	G-SAM-002 TERT Lost / decreased / male
G-SAM-002	PDGFRA	Mutation	G-SAM-002 PDGFRA Mutation
G-SAM-002	HM	Mutation	G-SAM-002 HM Mutation
G-SAM-003	TERT	Mutation	G-SAM-003 TERT Mutation
G-SAM-003	EGFR	Mutation	G-SAM-003 EGFR Mutation
G-SAM-003	PTEN	Mutation	G-SAM-003 PTEN Mutation
G-SAM-004	TERT	Gained / increased / female	G-SAM-004 TERT Gained / increased / female
G-SAM-004	PIK3CA	Mutation	G-SAM-004 PIK3CA Mutation
G-SAM-004	PIK3R1	Gained / increased / female	G-SAM-004 PIK3R1 Gained / increased / female
G-SAM-004	PIK3R1	Mutation	G-SAM-004 PIK3R1 Mutation secondary
G-SAM-004	TP53	Mutation	G-SAM-004 TP53 Mutation
G-SAM-005	TERT	Gained / increased / female	G-SAM-005 TERT Gained / increased / female
G-SAM-005	PIK3CA	Mutation	G-SAM-005 PIK3CA Mutation
G-SAM-005	PIK3R1	Mutation	G-SAM-005 PIK3R1 Mutation
G-SAM-005	EGFR	Mutation	G-SAM-005 EGFR Mutation
G-SAM-005	PTEN	Mutation	G-SAM-005 PTEN Mutation
G-SAM-005	RB1	Mutation	G-SAM-005 RB1 Mutation
G-SAM-006	TERT	Mutation	G-SAM-006 TERT Mutation
G-SAM-006	PIK3R1	Mutation	G-SAM-006 PIK3R1 Mutation
G-SAM-006	PIK3R1	Gained / increased / female	G-SAM-006 PIK3R1 Gained / increased / female secondary
G-SAM-006	NF1	Mutation	G-SAM-006 NF1 Mutation
G-SAM-006	SETD2	Lost / decreased / male	G-SAM-006 SETD2 Lost / decreased / male
G-SAM-006	SETD2	Gained / increased / female	G-SAM-006 SETD2 Gained / increased / female secondary
G-SAM-007	TERT	Mutation	G-SAM-007 TERT Mutation
G-SAM-007	PTEN	Mutation	G-SAM-007 PTEN Mutation
G-SAM-007	APC	Mutation	G-SAM-007 APC Mutation
