sample	mutation_type	mutations
README-001	inframe	6
README-001	missense	6
README-001	nonsense	4
README-002	missense	4
README-002	nonsense	1
README-002	silent	1
README-002	splice	2
README-003	missense	5
README-003	nonsense	1
README-003	silent	1
README-004	missense	3
README-004	silent	3
README-005	missense	3
README-005	splice	4
README-006	frameshift	1
README-006	missense	1
README-006	nonsense	3
README-006	splice	8
README-007	missense	8
README-007	silent	1
README-008	missense	3
README-008	nonsense	2
README-008	silent	2
README-008	splice	5
README-009	missense	1
README-009	nonsense	6
README-009	silent	1
README-010	missense	1
README-010	silent	5
README-010	splice	3
README-011	frameshift	8
README-011	inframe	5
README-012	inframe	6
README-012	silent	1
README-012	splice	1
README-013	frameshift	1
README-013	missense	2
README-013	nonsense	4
README-014	missense	1
README-014	nonsense	9
README-014	silent	2
README-015	missense	1
README-015	silent	3
README-015	splice	6
README-016	frameshift	1
README-016	inframe	8
README-017	missense	5
README-018	missense	1
README-018	nonsense	7
README-019	missense	3
README-019	nonsense	2
README-019	silent	4
README-020	inframe	1
README-020	missense	5
README-021	frameshift	2
README-021	inframe	1
README-021	missense	1
README-021	silent	8
README-022	missense	2
README-022	nonsense	7
README-022	silent	4
README-023	inframe	3
README-023	missense	2
README-024	missense	1
README-024	splice	6
README-025	frameshift	1
README-025	missense	1
README-025	nonsense	1
README-025	silent	3
README-026	missense	6
README-026	nonsense	1
README-026	splice	8
README-027	nonsense	6
README-027	silent	5
README-027	splice	1
README-028	missense	5
README-028	nonsense	1
README-029	missense	1
README-029	silent	1
README-030	missense	4
README-030	nonsense	8
README-031	frameshift	8
README-031	missense	1
README-031	nonsense	1
README-031	silent	1
README-032	frameshift	1
README-032	nonsense	6
README-032	silent	5
README-032	splice	1
README-033	frameshift	1
README-033	missense	2
README-033	silent	5
README-033	splice	1
README-034	missense	4
README-034	nonsense	5
README-035	missense	1
README-035	silent	6
README-036	inframe	1
README-036	missense	1
README-036	nonsense	6
README-037	nonsense	1
README-037	silent	4
README-037	splice	8
README-038	missense	7
README-038	splice	5
README-039	inframe	7
README-039	missense	1
README-040	inframe	1
README-040	missense	3
README-040	nonsense	8
README-040	silent	1
README-040	splice	2
README-041	frameshift	4
README-041	missense	2
README-042	missense	8
README-042	nonsense	4
README-042	splice	1
README-043	missense	2
README-043	splice	7
README-044	frameshift	1
README-044	missense	1
README-045	frameshift	4
README-045	missense	3
README-046	missense	1
README-046	silent	1
README-046	splice	1
README-047	missense	1
README-047	nonsense	6
README-048	nonsense	5
README-049	frameshift	1
README-049	inframe	3
README-049	missense	2
README-049	splice	1
README-050	frameshift	1
README-050	inframe	8
README-050	missense	1
README-050	splice	1
README-051	inframe	4
README-051	missense	5
README-051	nonsense	1
README-052	missense	9
README-052	nonsense	1
README-052	splice	3
README-053	frameshift	7
README-053	missense	3
README-053	silent	7
README-054	nonsense	2
README-054	silent	3
README-055	frameshift	3
README-055	missense	7
README-055	nonsense	2
README-056	frameshift	2
README-056	nonsense	1
README-056	silent	1
README-056	splice	7
README-057	frameshift	4
README-057	missense	3
README-057	splice	3
README-058	missense	2
README-058	nonsense	4
README-059	missense	5
README-059	splice	1
README-060	inframe	8
README-060	missense	1
README-060	splice	1
README-061	missense	6
README-061	nonsense	1
README-062	missense	2
README-062	silent	5
README-063	missense	2
README-063	silent	7
README-063	splice	1
README-064	missense	1
README-064	nonsense	1
README-064	silent	6
README-065	frameshift	7
README-065	missense	2
README-066	missense	6
README-066	splice	1
README-067	missense	2
README-067	nonsense	7
README-068	frameshift	2
README-068	missense	2
README-068	silent	4
README-068	splice	3
README-069	frameshift	1
README-069	missense	8
README-069	nonsense	1
README-069	splice	7
README-070	frameshift	3
README-070	missense	2
README-070	silent	1
README-070	splice	1
README-071	frameshift	1
README-071	missense	6
README-072	missense	8
README-073	frameshift	7
README-073	inframe	1
README-073	missense	9
README-074	frameshift	4
README-074	inframe	1
README-074	missense	3
README-075	nonsense	6
README-075	silent	1
README-076	frameshift	8
README-076	missense	1
README-076	nonsense	1
README-076	silent	1
README-077	frameshift	5
README-077	inframe	1
README-077	missense	1
README-077	silent	6
README-078	frameshift	3
README-078	inframe	1
README-078	missense	1
README-079	frameshift	6
README-079	missense	2
README-079	splice	1
README-080	missense	3
README-080	nonsense	1
README-080	silent	4
README-081	missense	1
README-081	nonsense	6
README-081	silent	6
README-082	missense	9
README-083	missense	7
README-083	nonsense	1
README-083	splice	4
README-084	inframe	1
README-084	missense	1
README-084	splice	5
README-085	inframe	1
README-085	missense	8
README-086	frameshift	7
README-086	missense	1
README-086	splice	3
README-087	missense	3
README-087	silent	3
README-087	splice	1
README-088	nonsense	6
README-089	inframe	3
README-089	missense	3
README-090	missense	2
README-090	splice	3
README-091	frameshift	1
README-091	inframe	7
README-091	missense	2
README-091	nonsense	5
README-092	inframe	1
README-092	missense	2
README-092	nonsense	1
README-093	inframe	1
README-093	missense	2
README-093	silent	2
README-094	frameshift	4
README-094	missense	3
README-095	frameshift	8
README-095	missense	1
README-095	splice	5
README-096	frameshift	7
README-096	inframe	6
README-096	missense	2
README-097	inframe	7
README-097	silent	8
README-098	frameshift	6
README-098	missense	2
README-098	splice	5
README-099	inframe	4
README-099	missense	2
README-099	nonsense	1
README-099	silent	3
README-100	frameshift	2
README-100	missense	3
README-100	splice	5
README-101	frameshift	1
README-101	inframe	6
README-102	missense	1
README-102	splice	4
